EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,JobLevel,Education,EducationField,HireDate,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,MonthlyIncome,PercentSalaryHike,PerformanceRating,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction,JobInvolvement,OverTime,BusinessTravel,DistanceFromHome,StockOptionLevel,TrainingTimesLastYear,Attrition,ExitDate,Exit_Reason_HR_Recorded,Retention_Attempted,Retention_Action_Taken,Retained,Retention_Outcome_Reason,Year,Reason_Category
100060,47,Male,Single,Sales,Account Manager,1,4,Technical Degree,2018-04-03,26,20,18,3,15,2,36300,18,3,4,2,3,2,1,No,Travel_Rarely,14,0,3,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2018,Not Applicable
100061,56,Male,Single,Finance,Financial Analyst,4,4,Human Resources,2020-08-07,32,11,6,0,10,6,69256,11,3,4,2,1,4,2,No,Travel_Rarely,6,1,1,Yes,2023-09-01,Personal reasons unrelated to the organization.,Yes,Not Applicable,No,Non-negotiable personal/relocation factor,2020,Personal & Non-Negotiable
100062,50,Male,Divorced,IT,IT Support,1,1,Business,2019-07-17,27,23,14,11,20,5,62153,24,3,4,3,2,2,2,Yes,Travel_Rarely,36,0,4,Yes,,Employee requested a salary hike due to competitive market pay standards.,No,Not Applicable,Not Applicable,Employee did not resign,2019,Compensation & Benefits
100063,35,Male,Married,Marketing,Marketing Manager,4,3,Life Sciences,2023-03-19,17,4,2,1,1,6,34045,10,4,4,3,2,1,4,Yes,Travel_Rarely,28,1,6,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2023,Not Applicable
100064,58,Male,Single,Sales,Account Manager,5,3,Technical Degree,2020-06-07,37,8,6,3,7,4,36618,13,3,1,3,2,3,3,No,Travel_Frequently,23,3,5,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2020,Not Applicable
100065,37,Female,Married,Sales,Sales Manager,3,5,Human Resources,2020-06-19,14,4,3,0,2,3,115555,11,3,4,2,3,2,1,No,Travel_Frequently,39,0,6,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2020,Not Applicable
100066,33,Male,Married,IT,Data Scientist,4,4,Business,2019-01-17,15,7,3,3,5,5,113768,17,3,4,1,1,2,1,No,Travel_Rarely,11,0,6,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2019,Not Applicable
100067,56,Female,Married,R&D,Research Director,5,4,Life Sciences,2017-02-14,35,25,23,4,19,4,117826,19,4,3,2,1,3,4,No,Travel_Rarely,16,1,4,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2017,Not Applicable
100068,35,Male,Married,HR,HR Manager,4,5,Life Sciences,2018-02-17,14,8,3,1,7,0,67963,23,3,4,2,3,1,1,No,Travel_Rarely,39,3,4,Yes,,Underutilized skills in current project assignment.,No,Not Applicable,Not Applicable,Employee did not resign,2018,Role Mismatch
100069,23,Male,Single,Sales,Sales Executive,3,4,Computer Science,2022-12-23,5,2,0,0,1,2,60233,11,2,2,2,2,3,1,No,Travel_Frequently,27,1,6,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2022,Not Applicable
100070,39,Male,Married,Sales,Sales Executive,5,4,Computer Science,2020-09-07,15,13,11,5,10,3,111445,19,4,1,2,1,1,3,Yes,Travel_Rarely,2,0,0,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2020,Not Applicable
100071,52,Male,Single,Finance,Finance Manager,1,3,Technical Degree,2018-10-22,32,20,12,2,19,3,42955,20,4,2,3,2,2,1,No,Travel_Rarely,24,2,4,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2018,Not Applicable
100072,28,Male,Married,IT,IT Support,2,1,Life Sciences,2023-01-15,9,5,1,0,4,1,68140,11,3,2,2,4,3,1,No,Travel_Frequently,34,0,4,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2023,Not Applicable
100073,39,Male,Single,Marketing,Marketing Manager,2,4,Marketing,2018-05-14,21,11,3,1,7,5,96663,11,2,3,4,3,4,4,No,Travel_Frequently,34,3,6,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2018,Not Applicable
100074,26,Male,Married,HR,HR Executive,2,2,Business,2017-03-08,8,7,3,1,5,0,33623,23,3,3,1,3,3,2,Yes,Travel_Rarely,2,1,1,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2017,Not Applicable
100076,39,Male,Married,Marketing,Marketing Manager,4,2,Computer Science,2017-02-10,16,5,4,2,3,2,58948,15,4,3,4,4,2,2,Yes,Travel_Frequently,23,2,6,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2017,Not Applicable
100077,33,Male,Married,HR,HR Executive,1,2,Human Resources,2021-03-28,14,8,6,0,7,3,118782,22,3,3,1,4,3,2,Yes,Travel_Rarely,14,1,0,Yes,,Employee requested a salary hike due to competitive market pay standards.,No,Not Applicable,Not Applicable,Employee did not resign,2021,Compensation & Benefits
100078,29,Male,Married,R&D,Laboratory Technician,2,2,Computer Science,2018-08-27,8,5,2,1,1,4,117292,24,3,3,4,3,3,1,No,Travel_Rarely,23,3,6,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2018,Not Applicable
100079,43,Male,Married,IT,IT Support,5,2,Medical,2018-03-03,21,4,3,0,3,2,47147,17,3,1,2,3,2,4,No,Travel_Rarely,15,0,5,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2018,Not Applicable
100080,47,Female,Single,Sales,Account Manager,3,5,Medical,2019-06-01,27,23,10,2,18,5,108274,12,3,4,4,2,1,1,No,Travel_Rarely,1,0,5,Yes,2022-09-29,Employee felt underutilized in current job responsibilities.,Yes,Role Change,Yes,Action directly addressed root cause of dissatisfaction,2019,Role Mismatch
100081,57,Male,Single,R&D,Manufacturing Director,2,5,Marketing,2017-01-18,37,15,3,2,6,0,83146,16,3,3,4,2,3,3,No,Travel_Frequently,36,0,4,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2017,Not Applicable
100082,38,Female,Married,Sales,Account Manager,3,1,Computer Science,2020-11-02,17,12,5,1,11,6,73816,23,3,3,4,3,3,1,No,Travel_Rarely,2,2,0,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2020,Not Applicable
100083,27,Male,Single,Finance,Finance Manager,4,3,Other,2019-02-14,3,1,0,0,0,2,44628,11,3,4,3,4,3,3,Yes,Travel_Frequently,31,0,3,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2019,Not Applicable
100084,53,Male,Married,R&D,Manufacturing Director,3,2,Life Sciences,2024-08-25,29,26,8,4,15,5,56239,24,4,4,1,3,2,2,No,Travel_Rarely,19,1,6,Yes,,Employee requested a salary hike due to competitive market pay standards.,No,Not Applicable,Not Applicable,Employee did not resign,2024,Compensation & Benefits
100085,45,Female,Single,HR,HR Executive,5,5,Medical,2019-08-10,25,12,8,5,7,0,77058,11,2,4,3,3,2,4,No,Travel_Frequently,9,0,6,Yes,2020-01-22,Mismatch between job description and actual day-to-day work.,Yes,Role Change,No,Offer came too late or competing offer was stronger,2019,Role Mismatch
100086,48,Male,Married,Finance,Financial Analyst,5,3,Life Sciences,2017-05-14,29,10,5,1,3,0,40580,20,3,3,4,3,2,4,No,Travel_Rarely,14,0,2,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2017,Not Applicable
100087,24,Female,Single,R&D,Research Scientist,5,4,Computer Science,2020-05-12,4,0,0,0,0,2,69588,19,1,2,4,2,4,4,No,Travel_Rarely,33,0,5,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2020,Not Applicable
100088,33,Male,Married,HR,HR Executive,1,1,Computer Science,2022-07-20,14,6,4,0,3,4,38095,20,4,4,2,2,4,2,No,Travel_Rarely,37,3,5,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2022,Not Applicable
100089,50,Female,Single,HR,Recruiter,3,4,Other,2020-10-05,29,14,10,3,13,6,33291,19,3,2,4,3,2,2,No,Travel_Frequently,18,3,6,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2020,Not Applicable
100090,53,Male,Married,Sales,Sales Executive,3,3,Medical,2019-02-15,32,7,6,3,5,0,39792,23,4,3,1,2,2,4,Yes,Travel_Frequently,29,1,2,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2019,Not Applicable
100091,37,Male,Single,Marketing,Marketing Executive,4,5,Human Resources,2021-09-14,16,10,9,3,5,6,96814,22,3,1,1,3,4,4,No,Travel_Frequently,37,3,2,Yes,,Underutilized skills in current project assignment.,No,Not Applicable,Not Applicable,Employee did not resign,2021,Role Mismatch
100092,52,Female,Married,Marketing,Content Strategist,5,1,Technical Degree,2020-07-07,31,17,3,6,15,5,75546,16,3,4,3,4,1,1,No,Travel_Rarely,9,2,3,Yes,2021-03-27,Family emergency required employee to step away from work.,Yes,Not Applicable,No,Non-negotiable personal/relocation factor,2020,Personal & Non-Negotiable
100093,53,Male,Single,IT,Data Analyst,3,2,Other,2024-10-17,29,17,5,4,15,6,103371,12,4,2,1,4,4,2,No,Travel_Frequently,28,1,1,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2024,Not Applicable
100094,36,Male,Married,Sales,Sales Executive,2,5,Other,2022-09-22,17,5,3,0,3,0,91466,22,3,4,4,2,1,1,No,Travel_Rarely,11,1,1,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2022,Not Applicable
100096,32,Male,Divorced,HR,Recruiter,4,2,Medical,2023-06-21,10,9,8,3,5,3,53157,19,4,4,1,4,4,2,No,Travel_Frequently,32,0,6,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2023,Not Applicable
100097,30,Female,Married,Sales,Sales Manager,3,2,Marketing,2024-04-20,7,3,2,0,1,3,57429,15,3,3,3,2,4,2,No,Travel_Rarely,13,3,3,Yes,2025-06-08,Left to pursue a leadership role at another company.,Yes,Promotion,Yes,Action directly addressed root cause of dissatisfaction,2024,Career Advancement
100098,47,Female,Married,Marketing,Marketing Executive,5,3,Computer Science,2023-01-22,25,20,12,6,12,5,118509,14,2,4,1,2,4,1,No,Travel_Rarely,39,3,4,Yes,,Workload burnout from overtime working hours.,No,Not Applicable,Not Applicable,Employee did not resign,2023,Work-Life Balance
100099,45,Female,Married,HR,HR Manager,2,1,Human Resources,2022-03-10,22,6,5,2,3,6,81860,17,3,4,2,3,4,1,No,Travel_Frequently,6,2,4,No,N/A,Employee did not resign,No,Not Applicable,Not Applicable,Employee did not resign,2022,Not Applicable
100100,26,Female,Single,Finance,Finance Manager,2,4,Human Resources,2022-12-08,4,1,0,0,0,2,69347,10,2,4,1,2,2,4,Yes,Travel_Rarely,18,0,4,Yes,2023-05-26,Cited burnout from continuous high-pressure deadlines.,Yes,Flexible Work,Yes,Action directly addressed root cause of dissatisfaction,2022,Work-Life Balance
100101,53,Female,Married,IT,IT Support,1,5,Life Sciences,2024-01-30,31,30,21,6,10,4,113801,17,3,3,4,1,2,1,No,Travel_Rarely,22,3,5,Yes,,Disagreement with team manager regarding team goals.,No,Not Applicable,Not Applicable,Employee did not resign,2024,Management & Culture
